Date,Open,High,Low,Close,Volume,Adj Close
2015-06-01,57.240002,57.240002,56.880001,56.880001,1400,56.880001
2015-05-29,56.860001,56.860001,56.860001,56.860001,100,56.860001
2015-05-28,56.50,56.50,56.50,56.50,100,56.50
2015-05-27,56.59,56.59,56.59,56.59,400,56.59
2015-05-26,57.630001,57.630001,57.630001,57.630001,000,57.630001
2015-05-22,57.439999,57.630001,57.439999,57.630001,1600,57.630001
2015-05-21,57.959999,57.959999,57.959999,57.959999,000,57.959999
2015-05-20,57.959999,57.959999,57.959999,57.959999,000,57.959999
2015-05-19,58.16,58.16,57.959999,57.959999,900,57.959999
2015-05-18,58.810001,58.810001,58.810001,58.810001,000,58.810001
2015-05-15,58.810001,58.810001,58.810001,58.810001,100,58.810001
2015-05-14,58.82,58.82,58.48,58.48,700,58.48
2015-05-13,56.650002,56.650002,56.650002,56.650002,000,56.650002
2015-05-12,56.400002,56.650002,56.400002,56.650002,300,56.650002
2015-05-11,56.369999,56.50,56.369999,56.50,400,56.50
2015-05-08,56.580002,56.580002,56.580002,56.580002,000,56.580002
2015-05-07,56.580002,56.580002,56.580002,56.580002,000,56.580002
2015-05-06,56.509998,56.580002,56.509998,56.580002,1300,56.580002
2015-05-05,56.610001,56.610001,56.610001,56.610001,000,56.610001
2015-05-04,56.450001,56.610001,56.450001,56.610001,800,56.610001
2015-05-01,55.450001,55.450001,55.450001,55.450001,900,55.450001
2015-04-30,55.57,55.610001,55.57,55.610001,400,55.610001
2015-04-29,57.169998,57.169998,57.16,57.16,1000,57.16
2015-04-28,57.00,57.52,57.00,57.52,500,57.52
2015-04-27,55.82,56.939999,55.810001,56.939999,8100,56.939999
2015-04-24,55.59,55.59,55.25,55.25,1200,55.25
2015-04-23,55.810001,56.200001,55.810001,56.200001,1100,56.200001
2015-04-22,56.279999,56.279999,55.630001,55.630001,2200,55.630001
2015-04-21,56.27,56.50,56.259998,56.50,1400,56.50
2015-04-20,56.330002,56.330002,56.00,56.099998,700,56.099998
2015-04-17,56.759998,56.970001,56.759998,56.799999,1100,56.799999
2015-04-16,56.91,56.91,56.52,56.52,300,56.52
2015-04-15,56.84,56.900002,56.84,56.900002,400,56.900002
2015-04-14,56.369999,56.369999,56.369999,56.369999,400,56.369999
2015-04-13,56.68,56.68,56.68,56.68,400,56.68
2015-04-10,57.310001,57.310001,57.310001,57.310001,400,57.310001
2015-04-09,56.459999,56.490002,56.459999,56.470001,500,56.470001
