Date,Open,High,Low,Close,Volume,Adj Close
2015-06-01,102.900002,103.059998,102.089996,102.510002,3256400,102.510002
2015-05-29,103.150002,103.209999,101.82,102.379997,4819700,102.379997
2015-05-28,103.519997,103.720001,102.400002,103.190002,2565200,103.190002
2015-05-27,103.110001,103.860001,103.040001,103.480003,3537700,103.480003
2015-05-26,103.970001,104.32,102.529999,102.849998,3680400,102.849998
2015-05-22,103.900002,104.419998,103.370003,103.949997,3668900,103.949997
2015-05-21,101.269997,104.93,101.099998,103.690002,7690100,103.690002
2015-05-20,102.32,102.32,101.239998,101.269997,3795200,101.269997
2015-05-19,102.650002,102.879997,101.949997,102.32,2969500,102.32
2015-05-18,101.779999,102.809998,101.699997,102.440002,2599700,102.440002
2015-05-15,102.059998,102.139999,101.389999,102.07,3788700,102.07
2015-05-14,100.400002,102.00,100.32,101.959999,4289400,101.959999
2015-05-13,100.459999,100.739998,99.470001,99.809998,3912000,99.809998
2015-05-12,100.019997,100.760002,99.769997,100.239998,4019500,100.239998
2015-05-11,100.510002,101.309998,100.339996,100.489998,3126000,100.489998
2015-05-08,99.849998,101.099998,99.849998,100.660004,4349300,100.660004
2015-05-07,98.970001,99.540001,98.50,99.360001,3822900,99.360001
2015-05-06,98.82,99.150002,98.230003,98.870003,3639600,98.870003
2015-05-05,100.110001,100.269997,98.190002,98.739998,4555300,98.739998
2015-05-04,100.57,101.32,100.010002,100.160004,3316600,100.160004
2015-05-01,100.93,101.18,97.870003,100.459999,6333000,100.459999
2015-04-30,100.419998,101.050003,99.010002,99.290001,7990100,99.290001
2015-04-29,101.669998,101.949997,100.190002,100.669998,6140400,100.669998
2015-04-28,101.199997,102.110001,100.739998,101.970001,4087700,101.970001
2015-04-27,102.00,102.529999,101.190002,101.220001,5425500,101.220001
2015-04-24,100.940002,101.849998,100.760002,101.580002,5418800,101.580002
2015-04-23,100.900002,101.230003,100.279999,100.879997,4120600,100.879997
2015-04-22,101.400002,101.669998,100.290001,101.230003,5561800,101.230003
2015-04-21,101.50,101.919998,101.120003,101.410004,5004400,101.060003
2015-04-20,100.809998,101.459999,100.519997,101.279999,4559100,100.930446
2015-04-17,100.589996,100.720001,99.25,100.389999,6579200,100.043519
2015-04-16,101.779999,101.919998,101.019997,101.169998,4077700,100.820825
2015-04-15,102.25,102.510002,101.57,101.730003,4363500,101.378898
2015-04-14,102.230003,102.760002,101.379997,102.110001,4729400,101.757584
